t,inf-count-mean,inf-count-std,inf-count-list,radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
29.67,120.33333333333333,83.29625841937118,"[39, 247, 141, 179, 44, 72]",0.15989468706618767,0.018453717870175766,"[0.125802663572037, 0.163566607586179, 0.17667567461134528, 0.17802286372895712, 0.16876728255441392, 0.14653303034419374]"
29.83,125.16666666666667,85.72844724282987,"[45, 258, 144, 183, 43, 78]",0.16010508650475908,0.01853872201780651,"[0.12516881707723576, 0.16115787169343176, 0.17312314799236375, 0.18562324939782443, 0.15989808525608296, 0.1556593476116157]"
30.0,128.5,87.01206812850732,"[50, 263, 149, 187, 43, 79]",0.15625464754313254,0.0167957848633652,"[0.12846039534525855, 0.1608193255133076, 0.17270683034553008, 0.17805163967523235, 0.15325351701475393, 0.14423617736471267]"
30.17,131.5,87.95396523181886,"[50, 266, 161, 186, 44, 82]",0.15747109680905277,0.01564637532266773,"[0.13672952269237038, 0.1626050827964525, 0.17501409979160187, 0.17808929433183437, 0.14973575339306194, 0.14265282784899566]"
30.33,137.16666666666666,90.08755000923638,"[52, 273, 169, 194, 46, 89]",0.1562107731352518,0.017914252960084504,"[0.13179220827923366, 0.15754606612291744, 0.17742435380155394, 0.18054181216721316, 0.14905452552888554, 0.14090567291170714]"
30.5,139.16666666666666,91.63714676192546,"[54, 278, 173, 195, 46, 89]",0.15394183335647252,0.01832436031427082,"[0.13070887541672108, 0.1532883255045086, 0.17927692764930106, 0.17654883597747656, 0.13790057701808714, 0.14592745857274073]"
30.67,142.66666666666666,92.7289958247509,"[55, 283, 176, 199, 47, 96]",0.15234850259935165,0.020034874379319716,"[0.12611041781067003, 0.1532319898689766, 0.18172391908335606, 0.17440922701928782, 0.13547071403001035, 0.1431447477838092]"
30.83,147.0,93.59700849920365,"[60, 290, 177, 205, 51, 99]",0.15009553901335781,0.023102817629288282,"[0.11693821993379691, 0.1508707765275258, 0.1835732425321861, 0.1749493900993146, 0.13342796005746294, 0.14081364492986054]"
31.0,153.66666666666666,99.62864380622004,"[60, 307, 192, 209, 54, 100]",0.15039075071053667,0.024385451584702525,"[0.11656597935404205, 0.15404136266413607, 0.18309500286876973, 0.17929509816618863, 0.1322894225717473, 0.13705763863833648]"
31.17,159.66666666666666,102.96730872789998,"[61, 320, 201, 212, 59, 105]",0.15168137032382042,0.02680796847370745,"[0.11660847087108647, 0.1544444605105605, 0.19474312327023688, 0.17295529464090692, 0.12438708965106807, 0.1469497829990638]"
31.33,164.5,106.3705786390203,"[66, 333, 203, 218, 61, 106]",0.1498337984079605,0.026307117065991804,"[0.11351270726196891, 0.15319007197803153, 0.19044431185097285, 0.1716787233515505, 0.12367276836182779, 0.14650420764341127]"
31.5,170.83333333333334,109.59820558141756,"[67, 342, 212, 229, 65, 110]",0.14829608666588287,0.02606222927218826,"[0.11424936674357675, 0.15017053306295405, 0.1895731386440867, 0.16937732362710983, 0.12077458858518339, 0.14563156933238655]"
31.67,177.66666666666666,109.52199170334087,"[75, 345, 222, 239, 68, 117]",0.14880386600143206,0.025960684084825825,"[0.10921547491978198, 0.1481009135305284, 0.1882148975573646, 0.1669168088582043, 0.12525071744170302, 0.1551243837010101]"
31.83,184.5,111.1193052534077,"[79, 352, 233, 246, 70, 127]",0.1480603677698221,0.0249280096468559,"[0.10656105211079607, 0.14630285146289662, 0.18503448513642534, 0.16604339199731794, 0.13115967478146603, 0.1532607511300304]"
32.0,191.33333333333334,111.8081690515799,"[83, 360, 236, 255, 75, 139]",0.14957663472908586,0.02345576119900492,"[0.11478424542706533, 0.14458795256449358, 0.18186149423050763, 0.17268427989330357, 0.12821537948037046, 0.1553264567787746]"
32.17,200.33333333333334,113.59870891285105,"[90, 376, 244, 260, 86, 146]",0.14961554251364975,0.019352094437861733,"[0.12286307161306728, 0.1462019359571013, 0.17791641033299535, 0.16871409602811996, 0.13086264816449514, 0.15113509298611952]"
32.33,209.5,118.43437001141181,"[97, 392, 255, 273, 88, 152]",0.15127781316292835,0.01872043423580191,"[0.12330350588313566, 0.14891308398479666, 0.1787950505117352, 0.17119313959920207, 0.14002353963088204, 0.14543855936781855]"
